Title,Ingredients,Steps,Loves,URL,Category,Title Cleaned,Total Ingredients,Ingredients Cleaned,Total Steps,judul_bersih,bahan_bersih,Quality Score
Bakso Sapi (Pakai Blender),"250 gram daging sapi--35 gram es batu (sekitar 4 buah ukuran 2cmX2cm)--1 buah putih telur--3 sdm tepung tapioka--1 sdt garam--1/2 sdt merica bubuk--1/2 sdt baking powder--1/2 sdm bawang putih bubuk (bisa pakai 2 bawang putih, d goreng, dihaluskan)--","1) Siapkan semua bahan, cincang daging sapi kecil2.
2) Masukkan daging cincang kedalam blender, tambahkan es batu (es nya di haluskan juga ya)
3) Proses sampai halus
4) Tanbahkan putih telur. Blender sampai rata. Tambahkan tepung tapioka, bawang putih, garam, merica dan baking powder. Proses lagi sampai tercampur rata
5) Siapkan baskom besar, masukkan adonan bakso, uleni, dan banting2 adonan sampai bener2 menyatu dan teksturnya lembut seperti pasta
6) Bulat2kan
7) Didihkan air, sampai benar2 mendidih, kecilkan api masukkan bulatan2 bakso. Jika sudah mengapung langsung angkate
8) Lalu taruh d air es
9) Tiriskan. Siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll
10) Siap di olah, bisa dijadikan bakso kuah, bakso goreng, bakso bakar dll",939,https://cookpad.com/id/resep/3431604-bakso-sapi-pakai-blender,sapi,bakso sapi ( pakai blender ),8,"daging sapi , es batu cmx , putih telur , tepung tapioka , garam , merica bubuk , baking powder , bawang putih bubuk bawang putih , goreng , dihaluskan",10,bakso sapi pakai blender,"250 gram daging sapi 35 gram es batu sekitar 4 buah ukuran 2cmx2cm 1 buah putih telur 3 sdm tepung tapioka 1 sdt garam 1 2 sdt merica bubuk 1 2 sdt baking powder 1 2 sdm bawang putih bubuk bisa pakai 2 bawang putih, d goreng, dihaluskan",0.7997
Chilli Tuna Puff Kilat Super Yummy 😙,1/2 pack Kulit puff instant saya merk.Edo--Bahan Isian--1 Kaleng Tuna in oil pedas saya merk Kingfisher--3 siung bawang putih digoreng ambil minyaknya aja--secukupnya Boncabe/chili flakes--secukupnya Garam--secukupnya lada--secukupnya Gula--2 butir Telur Rebus potong2--,"1) Langkah 
1.Tumis chili tuna chunk dengan minyak bawang disusul jagung pipil,lalu masukkan gula+garam+merica/lada hitam sesuai selera.
2.Terakhir,taburi Chili Flakes/Boncabe dan Parsley cincang,aduk rata,sisihkan
3.Potong puff seperti di foto step2,isi dengan telur rebus+tuna,lalu lipat,pipihkan samping2nya menggunakan ujung garpu supaya tidak bocor
4.Oles kuning telur,semprot saus+parsley
2) Panggang dengan suhu kurleb 200 derajat sampai keemasan dan kokoh sekitar 18 menit atau sesuaikan oven sendiri
Enjoyyy",516,https://cookpad.com/id/resep/4463240-chilli-tuna-puff-kilat-super-yummy-%F0%9F%98%99,ikan,chilli tuna puff kilat super yummy,9,"pack kulit puff instant merkedo , isian , kaleng tuna in oil pedas merk kingfisher , bawang putih digoreng ambil minyaknya , boncabe chili flakes , garam , lada , gula , telur rebus potong",3,chilli tuna puff kilat super yummy,1 2 pack kulit puff instant saya merk edo bahan isian 1 kaleng tuna in oil pedas saya merk kingfisher 3 siung bawang putih digoreng ambil minyaknya aja secukupnya boncabe chili flakes secukupnya garam secukupnya lada secukupnya gula 2 butir telur rebus potong2,0.4689
Perkedel Tahu Simple,3 buah tahu petak--1 batang daun seledri--2 siung bawang putih--2 siung bawang merah--6 butir merica--1 sdt garam--Masako (optional)--3 sdm terigu--,"1) Giling halus bawang merah+bawang putih+ merica+garam.
2) Hancurkan tahu, tambahkan bumbu halus, daun seledri, aduk merata. Lalu masukkan terigu sedikit2. Koreksi rasa bl krg asin blh tmbhkan masako/ garam halus. Aduk hingga merata.
3) Bentuk adonan perkedel hingga adonan habis.
4) Goreng perkedel dlm minyak panas, jgn lupa dibalik. Angkat dan tiriskan.
5) Perkedel tahu udh jd, makin enk dicocol dg saus sambal",481,https://cookpad.com/id/resep/4337985-perkedel-tahu-simple,tahu,perkedel tahu simple,8,"tahu petak , batang daun seledri , bawang putih , bawang merah , merica , garam , masako , terigu",5,perkedel tahu simple,3 buah tahu petak 1 batang daun seledri 2 siung bawang putih 2 siung bawang merah 6 butir merica 1 sdt garam masako optional 3 sdm terigu,0.4827
Orek tempe basah bumbu ulek,"1 papan tempe potong sesuai selera--3 buah cabe ijo iris--Secukupnya kecap manis--Secukupnya gula,garam,penyedap--Secukupnya air--Bumbu halus👇--5 siung bawang merah--2 siung bawang putih--1/2 buah tomat--3 buah cabe merah kriting/cabe rawit--2 butir kemiri--1/4 sdt ketumbar--","1) Goreng tempe yg sdh di potong2 dlm minyak panas hingga matang,jgn smpe kering yah
2) Tumis bumbu halus hingga harum dan benar2 matang,setelah bumbu matang tuangi air secukupnya,tuang kecap manis,gula,garam dan penyedap,tes rasanya
3) Jika rasa sdh pas masukan tempe dan cabe hijau lalu aduk hingga rata dan bumbu meresap,angkat dan sajikan",452,https://cookpad.com/id/resep/3989566-orek-tempe-basah-bumbu-ulek,tempe,orek tempe basah bumbu ulek,12,"papan tempe potong , cabe ijo , kecap manis , gula , garam , penyedap , air , bumbu halus , bawang merah , bawang putih , tomat , cabe merah kriting cabe rawit , kemiri , ketumbar",3,orek tempe basah bumbu ulek,"1 papan tempe potong sesuai selera 3 buah cabe ijo iris secukupnya kecap manis secukupnya gula,garam,penyedap secukupnya air bumbu halus 5 siung bawang merah 2 siung bawang putih 1 2 buah tomat 3 buah cabe merah kriting cabe rawit 2 butir kemiri 1 4 sdt ketumbar",0.4223
Sop Iga Sapi Enaaak bangeet👌👍,"1 kg iga sapi, cuci bersih, tiriskan--Secukupnya air didihkan utk rebusan awal--2 liter air--2 batang wortel, potong sesuai selera--2 buah kentang, potong sesuai selera--1 buah bawang bombay ukuran sedang, potong kotak besar--1 batang kayumanis kurleb 3 cm--4 butir cengkeh--3 butir kapulaga jawa, ambil isinya--2 batang bagian putihnya daun bawang, potong-potong--Secukupnya garam, gula dan kaldu bubuk (saya pakai yg non msg)--Secukupnya margarine untuk menumis--Bumbu yg dihaluskan :--7 siung bawang putih--1 sdt merica butir--1/2 bagian biji pala uk. kecil--Pelengkap :--Emping melinjo--Seledri--Bawang goreng--Jeruk limau--Sambal rawit--","1) Didihkan secukupnya air, lalu masukan potongan iga sapi, rebus kurleb 5 menit, angkat, tiriskan, buang airnya ya karena perebusan pertama ini utk menghilangkan darah dan sebagian lemak supaya airnya nanti tidak terlalu berlemak. Lalu rebus kembali daging iga dan 2 liter air sampai lunak. (Saya pakai pressure cooker 35 menit). Sisihkan.
2) Tumis potongan bawang bombay menggunakan margarine sampai harum dan sisinya berkaramel. Masukan bumbu halus, tumis lagi beberapa saat, kemudian masukan kayumanis, cengkeh dan kapulaga, tumis sampai matang.
3) Masukan tumisan bumbu yg sudah matang kedalam rebusan iga sapi, aduk rata. Nyalakan kompor. (Boleh ditambahkan air jika air menyusut banyak saat proses perebusan). Lalu masukan kentang dan wortel, beri garam, gula dan kaldu bubuk, masak sampai wortel dan kentang matang. Tes rasa. Matikan kompor. Terakhir masukan potongan batang daun bawang, aduk rata kembali. Angkat.
4) Sajikan hangat bersama nasi dan pelengkapnya.",375,https://cookpad.com/id/resep/3310336-sop-iga-sapi-enaaak-bangeet%F0%9F%91%8C%F0%9F%91%8D,sapi,sop iga sapi enaaak bangeet,22,"iga sapi , tiriskan , air didihkan utk rebusan , air , batang wortel , potong , kentang , potong , bawang bombai , potong kotak , batang kayu manis kurleb , cengkeh , kapulaga jawa , ambil isinya , batang putihnya daun bawang , potong potong , garam , gula kaldu bubuk non msg , margarine menumis , bumbu dihaluskan , bawang putih , merica , pala , pelengkap , emping melinjo , seledri , bawang goreng , jeruk limau , sambal rawit",4,sop iga sapi enaaak bangeet,"1 kg iga sapi, cuci bersih, tiriskan secukupnya air didihkan utk rebusan awal 2 liter air 2 batang wortel, potong sesuai selera 2 buah kentang, potong sesuai selera 1 buah bawang bombay ukuran sedang, potong kotak besar 1 batang kayumanis kurleb 3 cm 4 butir cengkeh 3 butir kapulaga jawa, ambil isinya 2 batang bagian putihnya daun bawang, potong potong secukupnya garam, gula dan kaldu bubuk saya pakai yg non msg secukupnya margarine untuk menumis bumbu yg dihaluskan 7 siung bawang putih 1 sdt merica butir 1 2 bagian biji pala uk kecil pelengkap emping melinjo seledri bawang goreng jeruk limau sambal rawit",0.355
Nasi Goreng Kambing...ala kebon sirih,"3 piring nasi putih dingin--350 gr daging kambing, potong kotak--1 btg kecil kayu manis--1 sdm bubuk kari--Bumbu yg dihaluskan :--8 btr bawang merah--4 siung bawang putih--1/2 sdt jintan--1/2 sdt adas--1 sdm ketumbar--2 bh kapulaga--5 bh cengkeh--1 sdt merica--secukupnya kecap manis, garam, gula, air--","1) Tumis kapulaga, bumbu halus, bubuk kari sampai harum masukkan daging kambing. Aduk rata
2) Tambahkan air secukupnya, beri garam, gula masak sampai daging empuk dan kuah mengental
3) Masukkan nasi dan kecap. Aduk2 sampai merata dan nasi agak mengering
4) Sajikan nasi goreng kambing dg acar kol, timun,emping dan bawang merah goreng
5) Ini beneran enaaak. Daging nya masak sampai empuuk ya, pakai kambing yg ada sedikit lemaknya spy lebih gurih",355,https://cookpad.com/id/resep/1041289-nasi-goreng-kambingala-kebon-sirih,kambing,nasi goreng kambing ala kebon sirih,14,"piring nasi putih dingin , daging kambing , potong kotak , btg kayu manis , bubuk kari , bumbu dihaluskan , bawang merah , bawang putih , jinten , adas , ketumbar , kapulaga , cengkeh , merica , kecap manis , garam , gula , air",5,nasi goreng kambing ala kebon sirih,"3 piring nasi putih dingin 350 gr daging kambing, potong kotak 1 btg kecil kayu manis 1 sdm bubuk kari bumbu yg dihaluskan 8 btr bawang merah 4 siung bawang putih 1 2 sdt jintan 1 2 sdt adas 1 sdm ketumbar 2 bh kapulaga 5 bh cengkeh 1 sdt merica secukupnya kecap manis, garam, gula, air",0.4114
Lapis daging sapi,"750 daging sapi (khas dalam)--3 lembar daun salam--5 lembar daun jeruk--2 batang serai, memarkan--1 cm kayumanis--2 butir cengkih--1 sdm gula merah, sisir--1 sdm air asam jawa--3 sdm kecap manis--Secukupnya garam--750 ml air (boleh tambah bila daging belum empuk)--Bumbu halus:--10 butir bawang merah--6 siung bawang putih--2 cabe merah, buang biji--1 jempol lengkuas muda--4 cm kunyit--1 sdm ketumbar sangrai--5 butir kemiri, Goreng--1/4 buah pala--1/2 sdt merica butiran--","1) Tumis bumbu halus sampai wangi, masukkan daun salam, serai, daun jeruk, cengkih, kayumanis, aduk rata, masukkan daging, aduk2 sampai berubah warna.
2) Setelah daging berubah warna bumbui garam, gula merah, air asam & kecap manis, aduk sampai rata lalu tuangi air, masak sampai daging empuk dan bumbu meresap, angkat dan sajikan.",342,https://cookpad.com/id/resep/4388878-lapis-daging-sapi,sapi,lapis daging sapi,21,"daging sapi khas , daun salam , daun jeruk , serai , memarkan , kayu manis , cengkeh , gula merah , sisir , asam jawa , kecap manis , garam , air daging empuk , bumbu halus , bawang merah , bawang putih , cabe merah , buang biji , jempol lengkuas muda , kunyit , biji ketumbar , kemiri , goreng , pala , merica butiran",2,lapis daging sapi,"750 daging sapi khas dalam 3 lembar daun salam 5 lembar daun jeruk 2 batang serai, memarkan 1 cm kayumanis 2 butir cengkih 1 sdm gula merah, sisir 1 sdm air asam jawa 3 sdm kecap manis secukupnya garam 750 ml air boleh tambah bila daging belum empuk bumbu halus 10 butir bawang merah 6 siung bawang putih 2 cabe merah, buang biji 1 jempol lengkuas muda 4 cm kunyit 1 sdm ketumbar sangrai 5 butir kemiri, goreng 1 4 buah pala 1 2 sdt merica butiran",0.2336
NASI KEBULI MAGICOM #KitaBerbagi,"4 gelas takar Beras--Secukupnya Air (sesuai takaran menanak nasi)--1/2 kg Daging kambing (vy : pakai sapi), potong2 dadu--4 sdm Minyak goreng--3 sdm Margarin (minyak samin)--5 cm Kayu manis--5 butir Cengkeh--2 buah Bunga lawang (pekak)--3 buah Kapulaga, ambil bijinya--1/2 sdt Lada bubuk--2 sdt Garam--1 sachet Bumbu kari instan (jk berupa bubuk gunakan ±2 sdm /lbh)--Bumbu halus :--7 siung Bawang merah--5 siung Bawang putih--2 cm Kunyit--1 sdt Ketumbar--Pelengkap :--Secukupnya Telur dadar, emping goreng, acar, bawang goreng--","1) Panaskan margarin dan minyak, tumis bumbu halus smp harum, masukkan kayu manis, cengkeh, pekak, kapulaga, aduk rata
2) Masukkan daging, tumis smp berubah warna, masukkan bumbu kari bubuk (jika bumbunya kental tumis bersama kayu manis) aduk rata
3) Beri air smp daging terendam, masukkan lada bubuk dan garam, masak smp daging empuk. Matikan api (pd tahap ini cengkeh, kayu manis, kapulaga sy buang) test rasa, usahakan air terasa asin krn nanti akan ditambah air lagi
4) Cuci beras, masukkan ke panci magicom, tuang rebusan daging ke panci, tambah air sesuai takaran menanak nasi dg magicom, jk suka tekstur nasi yg ambyar sesuaikan sj airnya, aduk rata, tekan tombol cook, tunggu smp matang
5) Jadii deh...
6) Sajikan dg ditaburi bawang goreng beserta pelengkap seperti dadar telur, emping, acar",337,https://cookpad.com/id/resep/3292806-nasi-kebuli-magicom-kitaberbagi,kambing,nasi kebuli magicom,19,"takar beras , air takaran menanak nasi , daging kambing vy sapi , potong dadu , minyak goreng , margarin minyak samin , kayu manis , cengkeh , bunga lawang , kapulaga , ambil bijinya , lada , garam , bumbu kari instan jk bubuk ± lbh , bumbu halus , bawang merah , bawang putih , kunyit , ketumbar , pelengkap , telur dadar , emping goreng , acar , bawang goreng",6,nasi kebuli magicom kitaberbagi,"4 gelas takar beras secukupnya air sesuai takaran menanak nasi 1 2 kg daging kambing vy pakai sapi , potong2 dadu 4 sdm minyak goreng 3 sdm margarin minyak samin 5 cm kayu manis 5 butir cengkeh 2 buah bunga lawang pekak 3 buah kapulaga, ambil bijinya 1 2 sdt lada bubuk 2 sdt garam 1 sachet bumbu kari instan jk berupa bubuk gunakan 2 sdm lbh bumbu halus 7 siung bawang merah 5 siung bawang putih 2 cm kunyit 1 sdt ketumbar pelengkap secukupnya telur dadar, emping goreng, acar, bawang goreng",0.4004
Tempe Melet👅,"1 Papan Tempe,saya jadi 7 potong--Bahan isi:--5 butir Bawang merah--2 siung Bawang putih--3 Cabe merah keriting--10 Cabe Rawit merah,boleh + sesuaikan kepedasan lidah masing2--1 buah Tomat--secukupnya Trasi, (optional)--Bahan Tepung:--secukupnya Daun bawang,--Tepung Bumbu serbaguna,karna ga mau ribet bikin tepung sendiri😆--","1) Potong tempe menjadi bbrp bagian,belah tengahnya jgn sampe putus ya.. Lebih baik potong tempe agak tebal,sisihkan
2) Tumis bahan isi,klo aku smua bahan aq blender dl br aku tumis smpe matang.. Terserah boleh tumis dl ato blender dl sesuai selera,beri sedikit garam
3) Lalu ambil tempe yg sudah dbelah td ambil isian masukkan ditengah2 tempe
4) Masukan tempe kedalam adonan tepung bumbu, Btw jgn terlalu encer dan kental ya adonannya..jgn lupa jg adonan tepung diberi daun bawang, lalu tempe siap digoreng hingga matang dan sajikan hangat2",280,https://cookpad.com/id/resep/4354009-tempe-melet%F0%9F%91%85,tempe,tempe melet,11,"papan tempe , potong , isi , bawang merah , bawang putih , cabe merah keriting , cabe rawit merah , + kepedasan lidah , tomat , trasi , tepung , daun bawang , tepung bumbu , karna ga ribet bikin tepung",4,tempe melet,"1 papan tempe,saya jadi 7 potong bahan isi 5 butir bawang merah 2 siung bawang putih 3 cabe merah keriting 10 cabe rawit merah,boleh sesuaikan kepedasan lidah masing2 1 buah tomat secukupnya trasi, optional bahan tepung secukupnya daun bawang, tepung bumbu serbaguna,karna ga mau ribet bikin tepung sendiri",0.4036
Bakso Sapi Homemade (bs daging frozen bs fresh),"250 gr daging sapi (potong kecil"")--6 siung bawang putih (sesuai selera) haluskan--Secukupnya garam + merica + masako + sejimpit gula--3 sedok munjung kanji (pake sendok yg buat maem)--2 sendok munjung maizena (pk sndk buat maem)--1 bungkus es batu 1/2 kg an + air es--1 batang sledry--","1) Pecahkan es batu campur dg air es.. (INI TIDAK DI PAKAI SEMUA YA) yg stengah biarkan ttp berukuran besar
2) Giling daging + sledry + garam + merica + penyedap + es batu plih yg ukuran kecil""(sebesar es balok yg di cetakn itu)+ air es bberapa sendok.. Giling hingga halus.. (sya pakai chooper kecil jd aya choop 3x.. Stiap kliatan nggumpel tndax perlu di tambhkn 1 - 2 sendok air es biar g nyiksa chooperx) giling hingga bnr"" halus ya lbh enak pke food processor ( tapin jangan menambhakn terlalu banyak air nnti benyek. Ini hasil gilingan ttp halus padat bukn benyek
3) Klo dagingx udah alus masukan kanji + maizena uleni pakai tangan hingga bnr"" rata sya ulen agak lama biar kenyel, tp g perlu kalis jg sh ya ini bukn adonan roti .. klo mau blh colek dikit test rasa.. Klo udh pas asin gurihx lanjut pansakan air
4) Panaskan air pakai api sedang sj, tmbhkan garam tjuanx hsil rebusan bksox biar ga anyep.. klo udah kliatan mrintis""airx.. clutut""kan bakso pake tangan kanan.. Sekrup pake sendok langsung selupin di dalam air (sendokx hrs ikut nyelup jg biar baksox lepas sndri dr sendokx) lakukan hingga habis dan rebus hingga mengapung, Sisa es batu + air esx tadi jangan di buang.. Stelah bakso mengambang lngsung tiriskan n rendam air es ini.. Ini hg bs bkin kenyal..
5) Blh di tmbh 1 putih telur",269,https://cookpad.com/id/resep/3396697-bakso-sapi-homemade-bs-daging-frozen-bs-fresh,sapi,bakso sapi homemade ( bs daging frozen bs fresh ),7,"daging sapi potong '' , bawang putih haluskan , garam + merica + masako + gula , sedok munjung kanji pake maem , munjung maizena sndk maem , es batu an + air es , batang sledry",9,bakso sapi homemade bs daging frozen bs fresh,250 gr daging sapi potong kecil 6 siung bawang putih sesuai selera haluskan secukupnya garam merica masako sejimpit gula 3 sedok munjung kanji pake sendok yg buat maem 2 sendok munjung maizena pk sndk buat maem 1 bungkus es batu 1 2 kg an air es 1 batang sledry,0.5982
