nama_bersih,kalori_per_100g,protein_g,lemak_g,karbo_g
abon,280.0,9.2,28.4,0.0
abon haruwan,513.0,23.7,37.0,21.3
agar-agar,0.0,0.0,0.2,0.0
akar tonjong segar,45.0,1.1,0.4,10.8
aletoge segar,37.0,4.4,0.5,3.8
alpukat segar,85.0,0.9,6.5,7.7
ampas kacang hijau,96.0,3.7,0.6,19.1
ampas tahu,414.0,26.6,18.3,41.3
ampas tahu kukus,75.0,4.1,2.1,10.7
ampas tahu mentah,67.0,5.0,2.1,8.1
anak sapi daging gemuk segar,184.0,18.8,14.0,0.0
anak sapi daging kurus segar,174.0,19.6,10.0,0.0
anak sapi daging sedang segar,190.0,19.1,12.0,0.0
andaliman segar,99.0,4.6,1.0,18.0
andewi,25.0,1.6,0.2,5.3
anggur hutan segar,30.0,0.5,0.2,6.8
angsa,354.0,16.4,31.5,0.0
anyang sayur,126.0,3.4,7.9,10.3
apel,58.0,0.3,0.4,14.9
apel malang segar,57.0,0.5,0.4,12.8
arbei,37.0,0.8,0.5,8.3
ares sayur,113.0,0.9,7.2,11.2
arrowroot segar,102.0,1.0,0.2,24.1
arwan sirsir,277.0,2.4,25.0,10.7
asam kandis segar,75.0,0.2,1.1,16.1
asam masak di pohon,239.0,2.8,0.6,62.5
asam payak segar,135.0,0.8,0.4,32.1
asan kandis kering,261.0,0.9,1.6,63.3
asinan bogor sayuran,98.0,3.9,2.6,14.8
ayam,302.0,18.2,25.0,0.0
ayam  goreng kentuckysayap,297.0,35.9,15.2,1.6
ayam ampela goreng,270.0,32.3,11.2,9.9
ayam dideh/darah segar,75.0,13.8,1.9,0.7
ayam goreng church texa sayap,295.0,34.0,16.0,1.5
ayam goreng church texas dada,338.0,35.2,20.6,0.4
ayam goreng kalasan paha,275.0,37.4,12.2,1.3
ayam goreng kentucky dada,298.0,34.2,16.8,0.1
ayam goreng kentucky paha,286.0,32.1,16.1,1.1
ayam goreng mbok berek dada,295.0,39.2,13.6,1.0
ayam goreng paha,287.0,31.0,15.7,1.7
ayam goreng pasundan dada,246.0,37.9,9.0,0.7
ayam goreng pasundan paha,245.0,33.1,11.4,0.3
ayam goreng pioneer dada,295.0,37.4,14.7,0.6
ayam goreng sukabumi dada,244.0,36.7,9.2,1.0
ayam goreng sukabumi paha,283.0,35.7,14.3,0.5
ayam hati segar,261.0,27.4,16.1,1.6
ayam taliwang masakan,264.0,18.2,20.1,2.7
ayam usus goreng,473.0,45.2,26.3,13.9
babat,113.0,17.6,4.2,0.0
babi daging gemuk segar,453.0,11.9,45.0,0.0
babi daging kurus segar,371.0,14.1,35.0,0.0
babi ginjal segar,110.0,16.3,4.6,0.8
babi hati segar,129.0,19.7,4.8,1.7
babi hutan masak rica masakan,491.0,24.6,16.3,0.2
bacang,102.9,3.3,2.7,16.3
bagea kelapa asin,450.0,3.2,13.9,78.1
bagea kelapa manis,452.0,1.3,13.8,80.6
bagea kenari asin,529.0,3.2,29.1,63.6
bagea kenari manis,523.0,3.2,28.2,64.2
bagea kw 1,416.0,6.5,9.4,76.3
bagea kw 2,382.0,0.3,3.5,87.2
baje,129.0,1.9,6.6,15.6
bakpia kue,272.0,8.7,6.7,44.1
bakung segar,27.0,2.0,0.2,4.2
bakwan,280.0,8.2,10.2,39.0
baligo,13.0,0.4,0.2,3.0
bantal,190.0,3.3,0.3,43.5
barongko,159.0,3.1,5.8,23.5
batang tading,137.0,4.3,4.8,19.1
batar daan,107.0,2.2,2.2,19.6
batatas gembili segar,76.0,1.1,0.9,16.0
batatas kelapa ubi bakar,110.0,1.4,1.1,23.4
batatas kelapa ubi kukus,92.0,1.2,0.3,21.0
batatas kelapa ubi segar,89.0,1.1,0.1,21.0
batatas tali ubi rebus,182.0,2.4,0.4,42.2
bawang bombay,45.0,1.4,0.2,10.3
bawang merah,39.0,1.5,0.3,0.2
bawang putih,95.0,4.5,0.2,23.1
bayam kukus,30.0,1.3,0.7,5.8
bayam merah,51.0,4.6,0.5,10.0
bayam merah segar,41.0,2.2,0.8,6.3
bayam rebus,23.0,1.2,0.6,3.7
bayam segar,36.0,3.5,0.5,6.5
bayam tumis bersantan,48.0,1.4,4.2,2.6
bebek (itik),326.0,16.0,28.6,0.0
bebek alabio daging segar,303.0,11.3,27.0,3.7
bebek daging goreng,300.0,24.0,20.7,4.5
beberuk,65.0,1.1,5.2,3.5
beef burger,258.0,10.6,9.5,32.5
beef teriyaki masakan,151.0,8.6,3.1,22.3
beef yakiniku masakan,132.0,9.8,1.1,20.7
bekasam,116.0,11.9,4.9,6.1
bekasang,78.0,11.4,2.0,3.6
belibis daging segar,131.0,20.2,4.3,2.8
belimbing,36.0,0.4,0.4,8.8
belitung talas kukus,145.0,1.2,0.4,34.2
belut goreng,417.0,25.9,19.4,32.0
belut segar,70.0,14.6,0.8,1.0
belutlaut segar,93.0,12.8,1.5,6.1
bengkuang,55.0,1.4,0.2,12.8
bentul (komba)  talas segar,98.0,1.6,0.7,20.9
bentul talas kukus,71.0,2.3,0.3,15.4
beras cerdas,350.0,2.7,1.1,82.3
beras ganyong,364.0,3.4,0.7,86.3
beras giling,360.0,6.8,0.7,78.9
beras giling mentah,357.0,8.4,1.7,77.1
beras giling var pelita mentah,369.0,9.5,1.4,77.1
beras giling var rojolele mentah,357.0,8.4,1.7,77.1
beras hitam mentah,351.0,8.0,1.3,76.9
beras jagung kuning kering mentah,358.0,5.5,0.1,82.7
beras jagung putih kering mentah,307.0,4.8,0.1,71.8
beras ketan hitam,356.0,7.0,0.7,78.0
beras ketan hitam kukus,181.0,4.0,1.2,37.3
beras ketan hitam tape,166.0,3.8,1.0,34.4
beras ketan hitam tumbuk,360.0,8.0,2.3,74.5
beras ketan hitam tumbuk mentah,360.0,8.0,2.3,74.5
beras ketan putih,362.0,6.7,0.7,79.4
beras ketan putih kukus,163.0,3.0,0.4,35.7
beras ketan putih tape,172.0,3.0,0.5,37.5
beras ketan putih tumbuk,361.0,7.4,0.8,78.4
beras ketan putih tumbuk mentah,361.0,7.4,0.8,78.4
beras ladang mentah,376.0,7.5,3.8,78.0
beras menir,339.0,7.7,4.4,73.0
beras menir mentah,362.0,7.7,4.4,73.0
beras merah tumbuk,359.0,7.5,0.9,77.6
beras parboiled,364.0,6.8,0.6,80.1
